trj1Atm3  0.22935124851716107 0.05516979686411776
trj1Atm5  0.1616729649783402 0.028394116276571384
trj1Atm6  0.12248673155614799 0.026414130217966427
trj1Atm7  0.14861127240919703 0.023000574474434453
trj2Atm3  0.2807009720426519 0.03233864531144312
trj2Atm5  0.17187758813728796 0.027855297779545703
trj2Atm6  0.11887025721426206 0.020797787556825237
trj2Atm7  0.14550579683438866 0.020509782501581836
trj3Atm3  0.2753445765411526 0.04803292033641276
trj3Atm5  0.18591188287237578 0.04779296193475972
trj3Atm6  0.12504009020326562 0.029825020491707693
trj3Atm7  0.15625291446184594 0.02853601241987798
trj1Btm3  0.2502024602132622 0.040494405653214584
trj1Btm5  0.22782937837387554 0.04401382423004257
trj1Btm6  0.23934886407864084 0.056068130527570634
trj1Btm7  0.1792791365878042 0.027512359175273577
trj2Btm3  0.22634789970010002 0.03956716233801869
trj2Btm5  0.2735235052649118 0.07357804688450467
trj2Btm6  0.17401714761746065 0.04637864104396826
trj2Btm7  0.16881577844052015 0.025937612654273436
trj3Btm3  0.21174752535821384 0.040673380484382085
trj3Btm5  0.22692748430523138 0.06968562155635509
trj3Btm6  0.12047110323225593 0.024274904195919392
trj3Btm7  0.17445215151616192 0.030789045829624297
