trj1Atm3  0.261182855748084 0.025907384011267787
trj1Atm5  0.18015608693768737 0.03070035532026877
trj1Atm6  0.15577073205598113 0.025744820015003382
trj1Atm7  0.1555414993002333 0.020423743184421143
trj2Atm3  0.27606160329890045 0.03639397948741921
trj2Atm5  0.1616729649783402 0.028394116276571384
trj2Atm6  0.158375593368877 0.02804115854991991
trj2Atm7  0.1410001350883042 0.02217660569914655
trj3Atm3  0.25775291649450116 0.04615396249262832
trj3Atm5  0.19816228250583143 0.04539095935306906
trj3Atm6  0.14578788203932044 0.027199370978107217
trj3Atm7  0.16193525298233907 0.027936775395998953
trj1Btm3  0.232312440853049 0.07541547433323836
trj1Btm5  0.46196280576474463 0.09441022580958972
trj1Btm6  0.290299473275575 0.102514040951659
trj1Btm7  0.17036894958347204 0.02569902906019797
trj2Btm3  0.185436799833389 0.05946792853457428
trj2Btm5  0.4426359998000666 0.06086790921897787
trj2Btm6  0.22801113848717103 0.060587121160043486
trj2Btm7  0.16783545621459492 0.036002115647420445
trj3Btm3  0.1792624773075638 0.03489816409185314
trj3Btm5  0.4493608416527823 0.1514805010212583
trj3Btm6  0.21477761569476905 0.04743968101206299
trj3Btm7  0.20270114065311537 0.037677074150747704
